title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Romeo + Juliet,454,pass,14500000,147298761,Drama,16.407,1996,English Language,120,6.8,4059,en,16.489659207390805,18.807973469992188
Scream,4232,pass,14000000,173046663,Crime,41.047,1996,English Language,112,7.3,4598,en,16.454567887579532,18.96907184441561
Set It Off,9400,pass,9000000,41590886,Crime,14.303,1996,English Language,123,7.2,243,en,16.012735135300492,17.54339161469007
Sleepers,819,fail,44000000,165615285,Crime,18.291,1996,English Language,147,7.6,2502,en,17.599700191882537,18.92517809638062
The Spitfire Grill,47907,pass,6000000,12643776,Comedy,4.064,1996,English Language,117,6.8,42,en,15.60727002719233,16.35267563624803
Spy Hard,10535,fail,18000000,27000000,Comedy,10.472,1996,English Language,81,5.3,440,en,16.70588231586044,17.111347423968603
Star Trek: First Contact,199,pass,46000000,150000000,SciFi,16.058,1996,English Language,111,7.3,1328,en,17.64415195445337,18.82614585206053
Striptease,9879,pass,50000000,113309743,Comedy,14.208,1996,English Language,115,5.5,801,en,17.72753356339242,18.545635715240152
Swingers,10218,fail,200000,4505922,Comedy,13.896,1996,English Language,96,7,534,en,12.206072645530174,15.320903089571507
That Thing You Do!,9591,pass,26000000,34585416,Comedy,9.782,1996,English Language,108,6.9,613,en,17.073607095985757,17.358942648280465
Tin Cup,10478,pass,45000000,53854588,Comedy,9.274,1996,English Language,135,6,387,en,17.622173047734595,17.801798157565987
Trainspotting,627,fail,4000000,16491080,Drama,18.216,1996,English Language,94,8,7800,en,15.201804919084164,16.61833018663006
Twister,664,pass,92000000,494471524,Action,18.999,1996,English Language,113,6.4,2402,en,18.337299135013314,20.019000121929096
A Goofy Movie,15789,fail,18000000,35348597,Romance,19.826,1995,English Language,78,6.9,1323,en,16.70588231586044,17.380769260693206
Ace Ventura: When Nature Calls,9273,fail,30000000,212385533,Crime,24.091,1995,English Language,90,6.3,3188,en,17.216707939626428,19.173913732959598
The American President,9087,pass,62000000,107879496,Comedy,9.302,1995,English Language,114,6.6,523,en,17.942644943009366,18.49652538436727
Apollo 13,568,pass,52000000,355237933,Drama,17.173,1995,English Language,140,7.4,4254,en,17.7667542765457,19.68829835673614
Babe,9598,pass,30000000,254134910,Fantasy,21.368,1995,English Language,91,6.1,2277,en,17.216707939626428,19.35337582570925
The Basketball Diaries,10474,fail,2000000,2381087,Drama,19.405,1995,English Language,102,7.4,1424,en,14.508657738524219,14.683067664070672
Batman Forever,414,fail,100000000,336529144,Action,20.003,1995,English Language,121,5.4,4021,en,18.420680743952367,19.634195312511178
Before Sunrise,76,fail,2500000,5987386,Drama,16.985,1995,English Language,101,8,2975,en,14.73180128983843,15.60516548085408
Billy Madison,11017,fail,10000000,26488734,Comedy,15.034,1995,English Language,90,6.2,1214,en,16.11809565095832,17.092230068486717
Boys on the Side,9382,pass,21000000,23450000,Comedy,6.336,1995,English Language,115,6.4,154,en,16.860032995687696,16.970381052856563
Braveheart,197,fail,72000000,213216216,Action,31.118,1995,English Language,178,7.9,7942,en,18.09217667698033,19.177817307401067
The Bridges of Madison County,688,pass,24000000,182016617,Drama,15.629,1995,English Language,135,7.7,1550,en,16.99356438831222,19.01960854307108
Canadian Bacon,1775,fail,11000000,178104,Comedy,6.651,1995,English Language,91,5.8,157,en,16.213405830762646,12.09012292831808
Casper,8839,pass,50000000,287928194,Fantasy,53.533,1995,English Language,100,6.3,3689,en,17.72753356339242,19.47822168062434
The City of Lost Children,902,pass,18000000,1738611,Fantasy,10.334,1995,Foreign Language,108,7.4,757,fr,16.70588231586044,14.3685970765368
Clueless,9603,pass,12000000,56631572,Comedy,28.358,1995,English Language,97,7.3,3283,en,16.300417207752275,17.852077196842977
Congo,10329,fail,50000000,152022101,Action,13.153,1995,English Language,109,5.5,648,en,17.72753356339242,18.83953646955659
Copycat,1710,pass,20000000,32000000,Thriller,11.148,1995,English Language,124,6.5,682,en,16.811242831518264,17.281246460764002
Dangerous Minds,9909,pass,23000000,179519401,Drama,13.302,1995,English Language,99,6.9,823,en,16.951004773893423,19.00579384361746
Dead Man Walking,687,pass,11000000,39363635,Drama,11.808,1995,English Language,122,7.4,994,en,16.213405830762646,17.48835297852636
Dead Presidents,11443,pass,10000000,24147179,Action,11.618,1995,English Language,119,6.6,201,en,16.11809565095832,16.999678119645647
Desperado,8068,fail,7000000,25405445,Thriller,19.711,1995,English Language,104,6.9,2156,en,15.761420707019587,17.050474079093522
Devil in a Blue Dress,8512,fail,27000000,16140822,Thriller,8.64,1995,English Language,102,6.3,253,en,17.111347423968603,16.59686214887725
Die Hard: With a Vengeance,1572,fail,90000000,366101666,Action,32.815,1995,English Language,128,7.2,4753,en,18.31532022829454,19.718421628749326
