title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
She's Funny That Way,1,245906,0,en,10.719,2015-04-22,3118433,93,5.8,503,Comedy
Sin City: A Dame to Kill For,0,189,65000000,en,47.64,2014-08-20,39407616,102,6.4,3064,Crime
The Single Moms Club,1,239562,0,en,12.375,2014-03-14,16337881,111,6,118,Drama
The Skeleton Twins,1,244772,0,en,7.811,2014-06-05,5284309,90,6.7,519,Drama
Someone Marry Barry,0,249923,0,en,12.552,2014-02-07,0,86,5.7,129,Comedy
"Something, Anything",1,271039,0,en,2.026,2015-01-09,0,88,6.9,7,Romance
Son of Batman,0,251519,0,en,27.095,2014-05-13,0,74,7.1,780,Animation
Song of the Sea,1,110416,0,en,13.162,2014-09-06,857522,93,8.1,1052,Family
St. Vincent,1,239563,13000000,en,30.056,2014-10-09,54837234,102,7.1,1495,Comedy
Starving in Suburbia,1,273059,0,en,6.534,2014-04-26,0,84,7,52,Drama
Step Up All In,0,243683,45000000,en,25.201,2014-07-16,86165646,112,6.8,1683,Romance
Still Alice,1,284293,5000000,en,12.564,2014-12-05,43884652,101,7.5,2546,Drama
Stretch,0,227300,0,en,17.356,2014-10-14,0,94,6.2,504,Action
Taken 3,0,260346,48000000,en,105.598,2014-12-16,325771424,109,6.2,4665,Thriller
The Taking of Deborah Logan,1,297608,0,en,18.901,2014-10-21,0,90,6.3,825,Horror
Tammy,1,226486,20000000,en,28.043,2014-07-02,100525432,97,5.3,1018,Comedy
Teenage Mutant Ninja Turtles,1,98566,125000000,en,153.792,2014-08-07,477200000,101,5.9,5644,Science Fiction
The Tempest,1,44638,20000000,en,12.393,2010-12-10,346594,110,5.6,82,Drama
That Awkward Moment,1,225565,8000000,en,25.132,2014-01-29,45640143,94,6.2,2285,Comedy
Thegidi,0,257423,404000,ta,1.307,2014-02-28,1100000,122,7.1,18,Crime
The Theory of Everything,1,266856,15000000,en,24.133,2014-11-26,123726688,123,7.9,8970,Drama
They Came Together,1,180296,0,en,11.649,2014-06-27,0,83,5.6,309,Comedy
This Is Where I Leave You,0,239678,19800000,en,11.111,2014-09-10,41296320,103,6.6,1036,Drama
Tinker Bell and the Legend of the NeverBeast,1,297270,0,en,46.619,2014-12-12,0,77,7.1,739,Adventure
Top Five,1,284296,0,en,14.874,2014-12-12,25434291,102,6.1,375,Drama
Transcendence,0,157353,100000000,en,15.774,2014-04-16,103039258,119,6,4545,Thriller
Transformers: Age of Extinction,1,91314,210000000,en,128.629,2014-06-25,1104000000,165,5.9,6420,Science Fiction
Treehouse,1,580944,0,en,8.073,2019-03-01,0,84,5.5,44,Horror
The Two Faces of January,1,192149,0,en,9.674,2014-05-16,4507463,96,5.8,548,Thriller
Two Night Stand,1,286554,0,en,14.563,2014-09-26,18612,86,6.5,1589,Romance
Unbroken,0,227306,65000000,en,28.042,2014-12-25,163442937,137,7.5,3358,Drama
Under the Skin,0,97370,13300000,en,17.634,2014-03-14,5735963,108,6.1,2657,Thriller
Unfriended,1,277685,1000000,en,29.825,2015-04-17,62882090,82,5.5,2791,Horror
Vampire Academy,1,203739,30000000,en,20.51,2014-02-07,15391979,104,6.3,1503,Comedy
Verden venter,1,302890,0,no,0.633,2014-11-07,0,112,0,0,Comedy
Veronica Mars,1,177494,6000000,en,9.332,2014-03-13,3485127,107,6.6,904,Comedy
Walk of Shame,1,187596,0,en,26.341,2014-05-02,8122990,95,5.9,1173,Comedy
Welcome to Me,1,284537,0,en,7.074,2014-09-05,0,87,5.9,248,Comedy
